Year,Month,Median montly series
1748,12,55.3
1749,1,149.6
1749,2,51.7
1749,3,69.8
1749,4,94.3
1749,5,49.9
1749,6,36.3
1749,7,82.5
1749,8,100.7
1749,9,91.6
1749,10,70.7
1749,11,54.4
1749,12,55.3
1750,1,73.9
1750,2,96.2
1750,3,69.9
1750,4,44.6
1750,5,22.3
1750,6,96.2
1750,7,99.3
1750,8,140.8
1750,9,71.9
1750,10,113.4
1750,11,107.4
1750,12,77.0
1751,1,110.0
1751,2,72.6
1751,3,102.0
1751,4,62.4
1751,5,69.2
1751,6,20.4
1751,7,156.5
1751,8,116.8
1751,9,145.1
1751,10,94.1
1751,11,107.7
1751,12,77.1
1752,1,123.0
1752,2,51.8
1752,3,48.5
1752,4,27.0
1752,5,117.6
1752,6,96.0
1752,7,156.4
1752,8,141.3
1752,9,111.1
1752,10,70.1
1752,11,80.9
1752,12,55.0
1753,1,109.9
1753,2,126.4
1753,3,102.2
1753,4,62.7
1753,5,98.9
1753,6,83.5
1753,7,98.9
1753,8,116.5
1753,9,55.0
1753,10,70.4
1753,11,55.0
1753,12,119.8
1754,1,149.2
1754,2,73.0
1754,3,69.9
1754,4,61.5
1754,5,69.9
1754,6,160.6
1754,7,99.1
1754,8,81.4
1754,9,54.2
1754,10,70.9
1754,11,54.2
1754,12,99.1
1755,1,34.8
1755,2,38.4
1755,3,108.0
1755,4,128.4
1755,5,99.6
1755,6,96.0
1755,7,127.2
1755,8,100.8
1755,9,145.2
1755,10,70.8
1755,11,130.8
1755,12,120.0
1756,1,149.0
1756,2,72.6
1756,3,68.7
1756,4,152.9
1756,5,117.9
1756,6,140.0
1756,7,99.8
1756,8,141.3
1756,9,92.0
1756,10,151.6
1756,11,54.4
1756,12,55.7
1757,1,73.4
1757,2,39.3
1757,3,98.2
1757,4,113.7
1757,5,77.5
1757,6,46.5
1757,7,107.5
1757,8,173.6
1757,9,39.3
1757,10,74.4
1757,11,114.7
1757,12,75.4
1758,1,69.4
1758,2,103.5
1758,3,81.5
1758,4,59.5
1758,5,52.9
1758,6,54.0
1758,7,186.1
1758,8,110.1
1758,9,69.4
1758,10,85.9
1758,11,99.1
1758,12,130.0
1759,1,75.9
1759,2,28.6
1759,3,110.7
1759,4,65.2
1759,5,52.7
1759,6,102.7
1759,7,45.5
1759,8,80.4
1759,9,75.0
1759,10,124.1
1759,11,71.4
1759,12,60.7
1760,1,101.4
1760,2,97.9
1760,3,25.3
1760,4,33.4
1760,5,56.5
1760,6,109.5
1760,7,41.5
1760,8,112.9
1760,9,121.0
1760,10,169.4
1760,11,148.6
1760,12,134.8
1761,1,26.0
1761,2,83.9
1761,3,72.9
1761,4,66.9
1761,5,69.9
1761,6,81.9
1761,7,49.9
1761,8,88.9
1761,9,80.9
1761,10,163.8
1761,11,124.8
1761,12,88.9
1762,1,82.1
1762,2,46.8
1762,3,87.4
1762,4,52.1
1762,5,30.0
1762,6,26.5
1762,7,54.8
1762,8,103.3
1762,9,89.2
1762,10,200.5
1762,11,75.9
1762,12,34.4
1763,1,49.1
1763,2,99.4
1763,3,47.8
1763,4,96.9
1763,5,56.4
1763,6,110.4
1763,7,168.1
1763,8,128.8
1763,9,89.6
1763,10,110.4
1763,11,68.7
1763,12,201.2
1764,1,188.4
1764,2,106.9
1764,3,51.7
1764,4,49.4
1764,5,56.3
1764,6,77.0
1764,7,137.9
1764,8,104.6
1764,9,88.5
1764,10,103.4
1764,11,105.7
1764,12,79.3
1765,1,125.3
1765,2,58.8
1765,3,107.0
1765,4,118.6
1765,5,23.1
1765,6,44.4
1765,7,27.0
1765,8,97.4
1765,9,75.2
1765,10,168.7
1765,11,64.6
1765,12,54.0
1766,1,7.2
1766,2,75.0
1766,3,25.3
1766,4,79.5
1766,5,132.8
1766,6,127.4
1766,7,85.8
1766,8,56.0
1766,9,90.4
1766,10,101.2
1766,11,62.3
1766,12,60.5
1767,1,29.8
1767,2,116.0
1767,3,96.9
1767,4,22.4
1767,5,140.5
1767,6,17.0
1767,7,191.6
1767,8,102.2
1767,9,91.6
1767,10,63.9
1767,11,136.3
1767,12,56.4
1768,1,67.6
1768,2,192.8
1768,3,39.4
1768,4,83.0
1768,5,53.5
1768,6,187.2
1768,7,161.8
1768,8,81.6
1768,9,159.0
1768,10,105.5
1768,11,164.7
1768,12,111.2
1769,1,55.6
1769,2,71.8
1769,3,36.4
1769,4,46.5
1769,5,53.6
1769,6,145.7
1769,7,76.9
1769,8,137.6
1769,9,181.1
1769,10,53.6
1769,11,72.8
1769,12,79.9
1770,1,43.2
1770,2,50.2
1770,3,74.8
1770,4,70.1
1770,5,61.9
1770,6,149.6
1770,7,81.8
1770,8,65.4
1770,9,113.3
1770,10,93.5
1770,11,224.3
1770,12,140.2
1771,1,65.6
1771,2,32.3
1771,3,35.0
1771,4,39.5
1771,5,53.0
1771,6,53.0
1771,7,83.5
1771,8,122.2
1771,9,62.0
1771,10,185.0
1771,11,74.6
1771,12,92.5
1772,1,82.4
1772,2,85.9
1772,3,80.1
1772,4,44.1
1772,5,73.1
1772,6,116.1
1772,7,74.3
1772,8,104.5
1772,9,171.8
1772,10,114.9
1772,11,159.0
1772,12,54.6
1773,1,96.7
1773,2,63.2
1773,3,27.4
1773,4,69.2
1773,5,149.2
1773,6,50.1
1773,7,46.5
1773,8,83.5
1773,9,196.9
1773,10,149.2
1773,11,142.0
1773,12,119.3
1774,1,110.3
1774,2,85.7
1774,3,43.3
1774,4,65.0
1774,5,74.8
1774,6,90.6
1774,7,104.4
1774,8,88.6
1774,9,151.6
1774,10,40.4
1774,11,61.0
1774,12,68.9
1775,1,94.9
1775,2,123.6
1775,3,74.9
1775,4,35.0
1775,5,33.7
1775,6,48.7
1775,7,171.0
1775,8,159.8
1775,9,147.3
1775,10,177.3
1775,11,114.9
1775,12,68.7
1776,1,47.7
1776,2,116.1
1776,3,48.7
1776,4,31.1
1776,5,41.5
1776,6,96.4
1776,7,129.6
1776,8,152.4
1776,9,143.0
1776,10,69.4
1776,11,94.3
1776,12,66.3
1777,1,46.4
1777,2,61.9
1777,3,67.0
1777,4,76.3
1777,5,68.1
1777,6,112.4
1777,7,111.4
1777,8,106.2
1777,9,51.6
1777,10,175.3
1777,11,104.1
1777,12,50.5
1778,1,80.4
1778,2,40.8
1778,3,73.2
1778,4,39.6
1778,5,97.2
1778,6,97.2
1778,7,175.2
1778,8,50.4
1778,9,79.2
1778,10,181.2
1778,11,132.0
1778,12,153.6
1779,1,19.9
1779,2,34.6
1779,3,25.2
1779,4,71.3
1779,5,82.8
1779,6,83.9
1779,7,161.5
1779,8,36.7
1779,9,151.0
1779,10,145.7
1779,11,88.1
1779,12,147.8
1780,1,34.5
1780,2,79.6
1780,3,61.9
1780,4,97.3
1780,5,68.1
1780,6,53.0
1780,7,68.1
1780,8,30.9
1780,9,157.4
1780,10,139.7
1780,11,85.8
1780,12,16.8
1781,1,58.5
1781,2,106.3
1781,3,16.6
1781,4,67.3
1781,5,58.5
1781,6,105.3
1781,7,70.2
1781,8,131.6
1781,9,99.4
1781,10,23.4
1781,11,163.8
1781,12,74.1
1782,1,115.7
1782,2,29.2
1782,3,78.0
1782,4,136.4
1782,5,142.5
1782,6,59.7
1782,7,86.5
1782,8,193.7
1782,9,148.6
1782,10,113.3
1782,11,57.3
1782,12,57.3
1783,1,105.4
1783,2,86.9
1783,3,57.6
1783,4,16.3
1783,5,113.0
1783,6,106.5
1783,7,94.5
1783,8,141.2
1783,9,148.8
1783,10,89.1
1783,11,89.1
1783,12,38.0
1784,1,80.7
1784,2,48.8
1784,3,54.4
1784,4,87.3
1784,5,74.1
1784,6,144.5
1784,7,109.8
1784,8,111.6
1784,9,59.1
1784,10,17.8
1784,11,89.1
1784,12,61.0
1785,1,64.9
1785,2,21.6
1785,3,17.1
1785,4,23.4
1785,5,36.1
1785,6,43.3
1785,7,77.5
1785,8,196.5
1785,9,126.2
1785,10,123.5
1785,11,102.8
1785,12,68.5
1786,1,90.1
1786,2,32.0
1786,3,35.8
1786,4,25.2
1786,5,83.3
1786,6,70.7
1786,7,63.9
1786,8,130.7
1786,9,176.3
1786,10,73.6
1786,11,83.3
1786,12,103.6
1787,1,25.8
1787,2,73.9
1787,3,82.9
1787,4,43.7
1787,5,51.5
1787,6,69.4
1787,7,171.3
1787,8,105.3
1787,9,52.6
1787,10,211.6
1787,11,108.6
1787,12,123.2
1788,1,67.6
1788,2,64.1
1788,3,57.2
1788,4,51.6
1788,5,36.9
1788,6,44.6
1788,7,115.7
1788,8,68.3
1788,9,77.4
1788,10,53.0
1788,11,42.5
1788,12,18.1
1789,1,87.6
1789,2,114.4
1789,3,29.2
1789,4,71.8
1789,5,96.1
1789,6,137.5
1789,7,144.8
1789,8,28.0
1789,9,110.8
1789,10,154.6
1789,11,97.4
1789,12,144.8
1790,1,98.2
1790,2,33.8
1790,3,22.2
1790,4,37.0
1790,5,78.1
1790,6,98.2
1790,7,133.1
1790,8,99.3
1790,9,106.7
1790,10,72.9
1790,11,105.6
1790,12,171.1
1791,1,150.1
1791,2,91.2
1791,3,45.6
1791,4,89.0
1791,5,60.1
1791,6,32.3
1791,7,107.9
1791,8,121.2
1791,9,46.7
1791,10,106.8
1791,11,140.1
1791,12,121.2
1792,1,87.6
1792,2,86.3
1792,3,102.0
1792,4,119.0
1792,5,104.6
1792,6,60.2
1792,7,109.9
1792,8,167.4
1792,9,155.6
1792,10,117.7
1792,11,51.0
1792,12,146.5
1793,1,75.4
1793,2,121.2
1793,3,94.5
1793,4,59.2
1793,5,40.1
1793,6,68.7
1793,7,57.3
1793,8,112.6
1793,9,74.4
1793,10,68.7
1793,11,88.8
1793,12,93.5
1794,1,48.2
1794,2,127.4
1794,3,64.3
1794,4,108.8
1794,5,59.4
1794,6,32.1
1794,7,101.4
1794,8,102.6
1794,9,111.3
1794,10,132.3
1794,11,226.3
1794,12,122.4
1795,1,71.2
1795,2,103.0
1795,3,85.5
1795,4,91.0
1795,5,28.5
1795,6,101.9
1795,7,57.0
1795,8,64.7
1795,9,16.4
1795,10,222.5
1795,11,137.0
1795,12,117.3
1796,1,123.4
1796,2,72.0
1796,3,29.7
1796,4,40.5
1796,5,130.6
1796,6,59.4
1796,7,127.0
1796,8,20.7
1796,9,101.7
1796,10,54.9
1796,11,56.7
1796,12,83.7
1797,1,62.8
1797,2,21.3
1797,3,68.1
1797,4,57.4
1797,5,97.8
1797,6,52.1
1797,7,95.7
1797,8,153.2
1797,9,125.5
1797,10,100.0
1797,11,98.9
1797,12,130.8
1798,1,114.7
1798,2,49.4
1798,3,35.6
1798,4,69.2
1798,5,37.6
1798,6,50.4
1798,7,163.2
1798,8,73.2
1798,9,125.6
1798,10,86.0
1798,11,127.6
1798,12,56.4
1799,1,67.8
1799,2,111.8
1799,3,55.9
1799,4,119.4
1799,5,59.2
1799,6,46.2
1799,7,74.2
1799,8,142.0
1799,9,109.7
1799,10,129.1
1799,11,101.1
1799,12,59.2
1800,1,134.8
1800,2,47.6
1800,3,44.6
1800,4,128.9
1800,5,77.3
1800,6,25.8
1800,7,27.8
1800,8,28.7
1800,9,127.9
1800,10,127.9
1800,11,115.0
1800,12,105.1
1801,1,112.8
1801,2,77.2
1801,3,86.4
1801,4,26.4
1801,5,66.0
1801,6,28.4
1801,7,148.3
1801,8,22.4
1801,9,110.7
1801,10,132.1
1801,11,107.7
1801,12,97.5
1802,1,66.8
1802,2,90.5
1802,3,46.3
1802,4,71.1
1802,5,26.9
1802,6,76.5
1802,7,172.4
1802,8,99.1
1802,9,62.5
1802,10,147.6
1802,11,72.2
1802,12,145.5
1803,1,59.1
1803,2,74.8
1803,3,52.6
1803,4,57.5
1803,5,78.0
1803,6,64.1
1803,7,31.2
1803,8,77.2
1803,9,55.0
1803,10,29.6
1803,11,101.9
1803,12,140.5
1804,1,158.4
1804,2,34.4
1804,3,126.3
1804,4,58.5
1804,5,101.0
1804,6,63.1
1804,7,82.6
1804,8,134.3
1804,9,36.7
1804,10,160.7
1804,11,102.2
1804,12,89.5
1805,1,110.1
1805,2,73.7
1805,3,73.7
1805,4,34.6
1805,5,60.1
1805,6,52.8
1805,7,132.0
1805,8,100.1
1805,9,91.9
1805,10,39.1
1805,11,25.5
1805,12,116.5
1806,1,132.1
1806,2,84.6
1806,3,45.2
1806,4,37.1
1806,5,92.7
1806,6,39.4
1806,7,104.3
1806,8,112.4
1806,9,88.1
1806,10,76.5
1806,11,179.6
1806,12,166.9
1807,1,67.3
1807,2,76.0
1807,3,25.0
1807,4,50.0
1807,5,111.9
1807,6,55.4
1807,7,104.3
1807,8,127.1
1807,9,168.4
1807,10,136.9
1807,11,91.2
1807,12,72.8
1808,1,71.9
1808,2,55.4
1808,3,17.5
1808,4,66.7
1808,5,86.3
1808,6,63.7
1808,7,135.5
1808,8,150.9
1808,9,58.5
1808,10,140.7
1808,11,105.8
1808,12,73.9
1809,1,126.9
1809,2,98.9
1809,3,40.7
1809,4,66.4
1809,5,83.8
1809,6,86.1
1809,7,59.4
1809,8,202.6
1809,9,132.7
1809,10,55.9
1809,11,69.8
1809,12,140.9
1810,1,71.3
1810,2,56.2
1810,3,88.4
1810,4,44.2
1810,5,26.1
1810,6,42.2
1810,7,122.5
1810,8,107.4
1810,9,73.3
1810,10,91.4
1810,11,139.6
1810,12,141.6
1811,1,74.4
1811,2,124.4
1811,3,76.8
1811,4,95.4
1811,5,129.1
1811,6,57.0
1811,7,64.0
1811,8,121.0
1811,9,48.8
1811,10,134.9
1811,11,121.0
1811,12,116.3
1812,1,59.3
1812,2,132.7
1812,3,88.5
1812,4,41.0
1812,5,97.1
1812,6,83.1
1812,7,82.0
1812,8,84.1
1812,9,80.9
1812,10,170.4
1812,11,116.5
1812,12,43.1
1813,1,82.8
1813,2,138.0
1813,3,44.0
1813,4,58.3
1813,5,114.5
1813,6,49.1
1813,7,84.9
1813,8,38.9
1813,9,103.3
1813,10,150.3
1813,11,106.3
1813,12,52.1
1814,1,29.7
1814,2,57.2
1814,3,44.5
1814,4,101.7
1814,5,50.8
1814,6,58.3
1814,7,77.3
1814,8,81.6
1814,9,39.2
1814,10,137.7
1814,11,191.7
1814,12,188.5
1815,1,48.8
1815,2,90.3
1815,3,111.0
1815,4,39.4
1815,5,95.5
1815,6,82.0
1815,7,52.9
1815,8,100.7
1815,9,121.4
1815,10,133.9
1815,11,83.0
1815,12,78.9
1816,1,73.4
1816,2,43.1
1816,3,68.7
1816,4,61.8
1816,5,103.7
1816,6,76.9
1816,7,163.1
1816,8,90.9
1816,9,136.3
1816,10,146.8
1816,11,64.1
1816,12,136.3
1817,1,86.1
1817,2,111.8
1817,3,86.1
1817,4,8.9
1817,5,59.2
1817,6,106.2
1817,7,158.7
1817,8,157.6
1817,9,35.8
1817,10,43.6
1817,11,140.8
1817,12,122.9
1818,1,151.3
1818,2,84.1
1818,3,153.7
1818,4,135.7
1818,5,50.4
1818,6,68.4
1818,7,79.3
1818,8,37.2
1818,9,121.3
1818,10,129.7
1818,11,110.5
1818,12,79.3
1819,1,158.8
1819,2,121.1
1819,3,51.4
1819,4,68.5
1819,5,94.8
1819,6,102.8
1819,7,76.5
1819,8,65.1
1819,9,82.3
1819,10,110.8
1819,11,88.0
1819,12,122.2
1820,1,73.7
1820,2,39.8
1820,3,77.6
1820,4,39.8
1820,5,140.6
1820,6,66.9
1820,7,50.4
1820,8,125.1
1820,9,86.3
1820,10,95.0
1820,11,69.8
1820,12,104.7
1821,1,57.7
1821,2,17.4
1821,3,117.7
1821,4,109.0
1821,5,59.9
1821,6,12.0
1821,7,55.6
1821,8,100.2
1821,9,124.2
1821,10,102.4
1821,11,156.9
1821,12,176.5
1822,1,50.9
1822,2,107.7
1822,3,122.7
1822,4,69.5
1822,5,54.4
1822,6,34.7
1822,7,191.0
1822,8,104.2
1822,9,53.3
1822,10,150.5
1822,11,163.2
1822,12,55.6
1823,1,81.9
1823,2,94.7
1823,3,85.4
1823,4,86.5
1823,5,126.3
1823,6,44.4
1823,7,164.9
1823,8,115.8
1823,9,90.1
1823,10,87.7
1823,11,52.6
1823,12,139.2
1824,1,72.1
1824,2,52.8
1824,3,74.1
1824,4,55.8
1824,5,20.3
1824,6,54.8
1824,7,35.5
1824,8,58.9
1824,9,90.3
1824,10,191.8
1824,11,155.3
1824,12,153.3
1825,1,86.2
1825,2,48.2
1825,3,65.6
1825,4,52.3
1825,5,88.2
1825,6,72.8
1825,7,20.5
1825,8,88.2
1825,9,104.6
1825,10,145.7
1825,11,130.3
1825,12,123.1
1826,1,77.2
1826,2,160.6
1826,3,60.3
1826,4,50.6
1826,5,17.7
1826,6,8.9
1826,7,68.3
1826,8,100.3
1826,9,72.8
1826,10,109.1
1826,11,76.3
1826,12,83.4
1827,1,78.9
1827,2,42.1
1827,3,155.7
1827,4,55.7
1827,5,90.4
1827,6,91.5
1827,7,66.3
1827,8,92.5
1827,9,70.5
1827,10,92.5
1827,11,65.2
1827,12,150.4
1828,1,125.7
1828,2,101.3
1828,3,62.2
1828,4,113.5
1828,5,62.2
1828,6,67.1
1828,7,153.8
1828,8,119.6
1828,9,64.7
1828,10,70.8
1828,11,119.6
1828,12,159.9
1829,1,41.1
1829,2,59.7
1829,3,42.1
1829,4,111.6
1829,5,40.2
1829,6,72.5
1829,7,109.7
1829,8,183.1
1829,9,83.2
1829,10,116.5
1829,11,62.7
1829,12,56.8
1830,1,40.1
1830,2,72.1
1830,3,68.1
1830,4,79.2
1830,5,80.2
1830,6,61.1
1830,7,105.2
1830,8,81.2
1830,9,130.3
1830,10,63.1
1830,11,120.2
1830,12,101.2
1831,1,45.1
1831,2,91.2
1831,3,109.2
1831,4,42.8
1831,5,21.4
1831,6,71.0
1831,7,84.5
1831,8,74.3
1831,9,84.5
1831,10,146.4
1831,11,194.8
1831,12,161.1
1832,1,46.8
1832,2,56.3
1832,3,80.2
1832,4,57.3
1832,5,42.0
1832,6,94.5
1832,7,42.0
1832,8,108.8
1832,9,40.1
1832,10,113.6
1832,11,127.9
1832,12,145.1
1833,1,24.4
1833,2,137.0
1833,3,34.8
1833,4,69.7
1833,5,47.6
1833,6,126.5
1833,7,70.8
1833,8,51.1
1833,9,117.2
1833,10,118.4
1833,11,159.0
1833,12,204.3
1834,1,184.3
1834,2,98.2
1834,3,65.8
1834,4,14.2
1834,5,45.6
1834,6,101.3
1834,7,113.4
1834,8,82.0
1834,9,79.0
1834,10,88.1
1834,11,78.0
1834,12,62.8
1835,1,82.7
1835,2,145.5
1835,3,88.2
1835,4,29.8
1835,5,105.8
1835,6,38.6
1835,7,83.8
1835,8,76.1
1835,9,137.8
1835,10,114.7
1835,11,137.8
1835,12,61.7
1836,1,98.2
1836,2,47.5
1836,3,115.9
1836,4,56.3
1836,5,8.8
1836,6,83.9
1836,7,143.5
1836,8,59.6
1836,9,128.0
1836,10,125.8
1836,11,140.2
1836,12,96.0
1837,1,62.8
1837,2,118.6
1837,3,35.9
1837,4,63.8
1837,5,53.8
1837,6,61.8
1837,7,116.6
1837,8,71.8
1837,9,79.7
1837,10,100.7
1837,11,109.6
1837,12,121.6
1838,1,53.8
1838,2,83.8
1838,3,85.9
1838,4,75.5
1838,5,47.6
1838,6,97.2
1838,7,106.5
1838,8,114.8
1838,9,59.0
1838,10,84.8
1838,11,143.8
1838,12,81.7
1839,1,76.0
1839,2,78.3
1839,3,92.1
1839,4,51.8
1839,5,23.0
1839,6,89.8
1839,7,127.8
1839,8,110.5
1839,9,163.5
1839,10,117.4
1839,11,108.2
1839,12,112.8
1840,1,133.8
1840,2,72.4
1840,3,11.9
1840,4,28.4
